region,year,tfr,share_pop_25_39,median_age,welfare_users,female_employment_rate,salary_avg_hourly,weddings_total,marriage_age_mean,housing_cost_ratio,employment_stability_ratio,childcare_places_per_100_children_0_2,youth_unemployment_rate_15_34
Abruzzo,2011,1.32,0.20039271151502386,44.0,19.0,,,415.5,31.65,13.6,,,
Abruzzo,2012,1.33,0.19631893086937455,44.0,18.4,,,431.3,31.91,12.2,,,
Abruzzo,2013,1.3,0.19272420554667138,44.0,18.7,,,441.2,31.92,12.0,,17.8,
Abruzzo,2014,1.3,0.18912594611096323,45.0,18.1,,12.29,408.0,32.24,10.9,,18.6,
Abruzzo,2015,1.29,0.18536757185654937,45.0,19.2,,12.38,415.2,32.58,10.2,,18.4,
Abruzzo,2016,1.29,0.18206934921253337,46.0,17.3,,12.59,443.0,33.04,12.0,,19.9,
Abruzzo,2017,1.25,0.17841285304392168,46.0,18.9,,12.43,403.9,33.44,10.8,,20.4,
Abruzzo,2018,1.2,0.17559926465802847,47.0,18.3,33.805616,12.35,423.2,33.84,10.3,0.818831186440678,21.8,18.916455
Abruzzo,2019,1.17,0.17256591921700387,47.0,19.3,34.83866,12.71,409.7,34.09,11.0,0.8028555984759596,22.7,21.54114
Abruzzo,2020,1.17,0.16918236612024815,48.0,16.1,33.111825,12.88,174.3,35.61,11.2,0.8241826549185651,23.8,18.853707
Abruzzo,2021,1.2,0.1648235925971029,48.0,20.0,34.119797,13.21,401.0,34.56,12.0,0.8009357512334657,23.9,17.651832
Abruzzo,2022,1.18,0.16264195305458679,48.0,22.2,34.935312,13.02,427.0,35.26,11.3,0.7652037336935735,26.1,15.857033
Abruzzo,2023,1.14,0.16067551607815958,49.0,22.6,37.920644,,396.2,35.88,11.1,0.8024088174709723,27.8,14.018243
Abruzzo,2024,1.12,0.15930893191479642,49.0,,37.828621,,,,9.0,0.83470153945643,,16.225758
Basilicata,2011,1.19,0.19972451316310544,43.0,21.4,,,546.5,30.66,10.8,,,
Basilicata,2012,1.22,0.1964961336647335,43.0,19.7,,,515.7,30.68,11.0,,,
Basilicata,2013,1.13,0.19378581940957493,44.0,22.0,,,534.3,31.08,10.5,,12.5,
Basilicata,2014,1.16,0.191525388406673,44.0,22.8,,11.63,523.3,31.43,12.1,,14.0,
Basilicata,2015,1.18,0.18863609403456866,45.0,22.3,,11.97,525.1,31.74,12.2,,13.0,
Basilicata,2016,1.18,0.18645977184950702,45.0,21.6,,11.83,565.4,31.92,11.8,,14.2,
Basilicata,2017,1.2,0.18317281803656393,46.0,23.4,,12.01,539.0,32.0,11.1,,13.9,
Basilicata,2018,1.14,0.18131403561126033,46.0,25.4,27.800761,11.94,560.0,32.48,11.4,0.7989248780067124,16.4,24.308404
Basilicata,2019,1.15,0.178543360300186,47.0,25.8,28.166621,12.51,534.9,32.55,11.8,0.7829079150689636,20.0,20.917281
Basilicata,2020,1.14,0.175772791520712,47.0,25.7,27.684326,12.44,139.6,34.99,11.8,0.7852950080111047,20.9,18.659914
Basilicata,2021,1.11,0.17137746959440867,48.0,24.4,29.806355,12.62,557.8,33.09,11.3,0.7854568315171836,22.9,17.489021
Basilicata,2022,1.1,0.16930417171747036,48.0,23.9,29.379563,12.75,540.3,33.55,11.1,0.7905432735895112,21.7,15.727904
Basilicata,2023,1.09,0.16755553157966208,48.0,30.5,31.101015,,499.8,33.9,10.8,0.7872747793139585,24.4,15.442303
Basilicata,2024,1.09,0.16543049661217515,49.0,,31.458539,,,,9.2,0.7980045029349487,,13.257403
Calabria,2011,1.29,0.20543759308211915,41.0,12.0,,,610.2,30.0,11.3,,,
Calabria,2012,1.3,0.20289545123889022,42.0,14.9,,,619.9,29.92,10.6,,,
Calabria,2013,1.29,0.20062065908083346,42.0,16.4,,,584.3,30.39,9.4,,10.0,
Calabria,2014,1.3,0.19902248259393962,43.0,16.8,,11.36,575.2,30.66,10.6,,8.0,
Calabria,2015,1.31,0.19702233860881585,43.0,9.7,,11.28,587.7,30.94,12.0,,8.4,
Calabria,2016,1.31,0.19523232385613598,44.0,10.2,,11.33,630.3,31.06,11.9,,8.8,
Calabria,2017,1.3,0.19273349087926858,44.0,8.9,,11.46,551.8,31.4,11.0,,9.3,
Calabria,2018,1.29,0.1907629802048271,44.0,8.4,23.868843,11.31,586.3,31.29,10.4,0.740905376196259,10.0,35.896495
Calabria,2019,1.26,0.18832481442410937,45.0,6.8,23.319006,11.66,548.1,31.73,10.7,0.7269222996867738,10.2,35.476231
Calabria,2020,1.26,0.1840500287734081,45.0,6.0,22.023033,11.69,222.5,32.9,11.2,0.7522073046444393,11.1,34.98269
Calabria,2021,1.23,0.17732818589262286,46.0,5.9,23.068319,12.17,656.5,31.99,10.4,0.7435675314214502,13.6,31.282438
Calabria,2022,1.28,0.1748704090750835,46.0,7.5,23.853158,11.95,573.1,32.46,11.5,0.735279491249573,14.7,24.592413
Calabria,2023,1.28,0.17216250318150558,47.0,8.9,24.393658,,529.2,32.7,10.3,0.7490219859047648,16.0,27.766405
Calabria,2024,1.24,0.17020964141658074,47.0,,24.812753,,,,9.4,0.7722709405754131,,23.748275
Campania,2011,1.41,0.20929472917536449,39.0,7.9,,,623.1,29.53,14.6,,,
Campania,2012,1.39,0.20576351162478232,40.0,7.4,,,609.3,29.85,13.8,,,
Campania,2013,1.36,0.20253074085591613,40.0,8.5,,,577.7,30.18,13.8,,5.4,
Campania,2014,1.34,0.20011688063242847,41.0,9.1,,11.89,575.4,30.4,14.4,,5.7,
Campania,2015,1.35,0.19742762780456793,41.0,9.1,,11.89,578.3,30.74,13.6,,5.9,
Campania,2016,1.35,0.19538342224186264,42.0,7.5,,11.84,624.4,31.05,13.9,,6.7,
Campania,2017,1.36,0.1933977697123629,42.0,8.0,,12.08,569.5,31.46,13.7,,7.4,
Campania,2018,1.33,0.19211926518105762,42.0,7.2,23.319756,12.05,587.1,31.74,13.4,0.8156688399400135,8.4,36.514492
Campania,2019,1.31,0.18993340233099681,43.0,7.4,23.289068,12.28,581.2,31.96,13.6,0.7977240678722748,9.3,34.157143
Campania,2020,1.3,0.18724496217969333,43.0,5.7,22.142822,12.32,251.7,32.8,11.7,0.8178629065864543,9.9,33.543905
Campania,2021,1.28,0.18246471535810935,44.0,6.9,22.69733,12.73,623.1,32.22,13.1,0.7764473356937412,10.7,31.935741
Campania,2022,1.33,0.180874472390042,44.0,7.6,23.728788,12.62,586.2,32.75,13.4,0.7788652719932341,12.2,28.297874
Campania,2023,1.29,0.17892121558717156,45.0,8.5,24.152287,,537.2,33.24,12.2,0.8003588125629657,14.4,27.914732
Campania,2024,1.26,0.17733547900161353,45.0,,25.070098,,,,11.3,0.8125527399480821,,25.32008
Emilia-Romagna,2011,1.49,0.19914699325989713,45.0,21.6,,,373.4,33.75,13.1,,,
