region,year,tfr,share_pop_25_39,median_age,population_total,welfare_users,female_employment_rate,salary_avg_hourly,marriage_age_mean,housing_cost_ratio,employment_stability_ratio,childcare_places_per_100_children_0_2,youth_unemployment_rate_15_34,foreign_population,foreign_population_share,weddings_per_1000
Abruzzo,2011,1.32,0.2003927115150238,44.0,1329220.0,19.0,,,31.65,13.6,,,,,,0.31258933810806333
Abruzzo,2012,1.33,0.1963189308693745,44.0,1331624.0,18.4,,,31.91,12.2,,,,,,0.3238902272713619
Abruzzo,2013,1.3,0.1927242055466713,44.0,1332583.0,18.7,,,31.92,12.0,,17.8,,,,0.3310863188259193
Abruzzo,2014,1.3,0.1891259461109632,45.0,1329918.0,18.1,,12.29,32.24,10.9,,18.6,,,,0.30678583190843345
Abruzzo,2015,1.29,0.1853675718565493,45.0,1325836.0,19.2,,12.38,32.58,10.2,,18.4,,,,0.3131609037618529
Abruzzo,2016,1.29,0.1820693492125333,46.0,1319294.0,17.3,,12.59,33.04,12.0,,19.9,,,,0.3357856550549006
Abruzzo,2017,1.25,0.1784128530439216,46.0,1313930.0,18.9,,12.43,33.44,10.8,,20.4,,,,0.3073984154407008
Abruzzo,2018,1.2,0.1755992646580284,47.0,1306059.0,18.3,33.805616,12.35,33.84,10.3,0.818831186440678,21.8,18.916455,,,0.3240282406843795
Abruzzo,2019,1.17,0.1725659192170038,47.0,1300645.0,19.3,34.83866,12.71,34.09,11.0,0.8028555984759596,22.7,21.54114,84611.0,0.0650531082655144,0.3149975589034671
Abruzzo,2020,1.17,0.1691823661202481,48.0,1293941.0,16.1,33.111825,12.88,35.61,11.2,0.8241826549185651,23.8,18.853707,83504.0,0.0645346271584253,0.1347047508348526
Abruzzo,2021,1.2,0.1648235925971029,48.0,1281012.0,20.0,34.119797,13.21,34.56,12.0,0.8009357512334657,23.9,17.651832,82568.0,0.064455290036315,0.31303375768533004
Abruzzo,2022,1.18,0.1626419530545867,48.0,1275950.0,22.2,34.935312,13.02,35.26,11.3,0.7652037336935735,26.1,15.857033,80988.0,0.0634727066107606,0.33465261177945843
Abruzzo,2023,1.14,0.1606755160781595,49.0,1272627.0,22.6,37.920644,13.173611111111057,35.88,11.1,0.8024088174709723,27.8,14.018243,82904.0,0.0651439895586059,0.31132452792530724
Abruzzo,2024,1.12,0.1593089319147964,49.0,1269571.0,20.6615384615385,37.828621,13.278111111111116,36.10230769230793,9.0,0.83470153945643,27.74181818181819,16.225758,85828.0,0.0676039386532931,0.28322710827273156
Basilicata,2011,1.19,0.1997245131631054,43.0,580790.0,21.4,,,30.66,10.8,,,,,,0.9409597272680315
Basilicata,2012,1.22,0.1964961336647335,43.0,579360.0,19.7,,,30.68,11.0,,,,,,0.8901201325600663
Basilicata,2013,1.13,0.1937858194095749,44.0,577550.0,22.0,,,31.08,10.5,,12.5,,,,0.9251147086832308
Basilicata,2014,1.16,0.191525388406673,44.0,575814.0,22.8,,11.63,31.43,12.1,,14.0,,,,0.9088004112439085
Basilicata,2015,1.18,0.1886360940345686,45.0,573236.0,22.3,,11.97,31.74,12.2,,13.0,,,,0.9160276046863771
Basilicata,2016,1.18,0.186459771849507,45.0,569887.0,21.6,,11.83,31.92,11.8,,14.2,,,,0.9921265092904382
Basilicata,2017,1.2,0.1831728180365639,46.0,566405.0,23.4,,12.01,32.0,11.1,,13.9,,,,0.9516158932212816
Basilicata,2018,1.14,0.1813140356112603,46.0,562968.0,25.4,27.800761,11.94,32.48,11.4,0.7989248780067124,16.4,24.308404,,,0.9947279419078882
Basilicata,2019,1.15,0.178543360300186,47.0,558587.0,25.8,28.166621,12.51,32.55,11.8,0.7829079150689636,20.0,20.917281,22210.0,0.0397610399096291,0.9575947882782807
Basilicata,2020,1.14,0.175772791520712,47.0,553254.0,25.7,27.684326,12.44,34.99,11.8,0.7852950080111047,20.9,18.659914,22569.0,0.0407931980609268,0.2523253333911729
Basilicata,2021,1.11,0.1713774695944086,48.0,545130.0,24.4,29.806355,12.62,33.09,11.3,0.7854568315171836,22.9,17.489021,22011.0,0.0403775246271531,1.023242162419973
Basilicata,2022,1.1,0.1693041717174703,48.0,541168.0,23.9,29.379563,12.75,33.55,11.1,0.7905432735895112,21.7,15.727904,22184.0,0.0409928155397214,0.9983960618514028
Basilicata,2023,1.09,0.167555531579662,48.0,537577.0,30.5,31.101015,12.868055555555486,33.9,10.8,0.7872747793139585,24.4,15.442303,24211.0,0.0450372690795923,0.929727276278561
