region,year,tfr,share_pop_25_39,median_age,population_total,welfare_users,weddings_total,marriage_age_mean,housing_cost_ratio
Abruzzo,2011,1.32,0.2003927115150238,44.0,1329220.0,19.0,415.5,31.65,13.6
Abruzzo,2012,1.33,0.1963189308693745,44.0,1331624.0,18.4,431.3,31.91,12.2
Abruzzo,2013,1.3,0.1927242055466713,44.0,1332583.0,18.7,441.2,31.92,12.0
Abruzzo,2014,1.3,0.1891259461109632,45.0,1329918.0,18.1,408.0,32.24,10.9
Abruzzo,2015,1.29,0.1853675718565493,45.0,1325836.0,19.2,415.2,32.58,10.2
Abruzzo,2016,1.29,0.1820693492125333,46.0,1319294.0,17.3,443.0,33.04,12.0
Abruzzo,2017,1.25,0.1784128530439216,46.0,1313930.0,18.9,403.9,33.44,10.8
Abruzzo,2018,1.2,0.1755992646580284,47.0,1306059.0,18.3,423.2,33.84,10.3
Abruzzo,2019,1.17,0.1725659192170038,47.0,1300645.0,19.3,409.7,34.09,11.0
Abruzzo,2020,1.17,0.1691823661202481,48.0,1293941.0,16.1,174.3,35.61,11.2
Abruzzo,2021,1.2,0.1648235925971029,48.0,1281012.0,20.0,401.0,34.56,12.0
Abruzzo,2022,1.18,0.1626419530545867,48.0,1275950.0,22.2,427.0,35.26,11.3
Abruzzo,2023,1.14,0.1606755160781595,49.0,1272627.0,22.6,396.2,35.88,11.1
Abruzzo,2024,1.12,0.1593089319147964,49.0,1269571.0,20.6615384615385,359.57692307692014,36.10230769230793,9.0
Basilicata,2011,1.19,0.1997245131631054,43.0,580790.0,21.4,546.5,30.66,10.8
Basilicata,2012,1.22,0.1964961336647335,43.0,579360.0,19.7,515.7,30.68,11.0
Basilicata,2013,1.13,0.1937858194095749,44.0,577550.0,22.0,534.3,31.08,10.5
Basilicata,2014,1.16,0.191525388406673,44.0,575814.0,22.8,523.3,31.43,12.1
Basilicata,2015,1.18,0.1886360940345686,45.0,573236.0,22.3,525.1,31.74,12.2
Basilicata,2016,1.18,0.186459771849507,45.0,569887.0,21.6,565.4,31.92,11.8
Basilicata,2017,1.2,0.1831728180365639,46.0,566405.0,23.4,539.0,32.0,11.1
