FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,14.195395,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,12.313442,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,12.533102,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,11.306895,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,10.877386,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,9.800074,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,10.236779,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,17.146163,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,16.013009,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,16.006727,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,14.234784,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,13.511406,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,11.660043,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,8.434385,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,15.47738,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,14.004526,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,14.067228,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,12.606217,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,12.036498,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,10.59857,,
A,Annuale,ITC1,Piemonte,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,9.459295,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,12.163806,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,11.800746,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,12.393224,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,14.342347,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,8.491076,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,9.749937,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,6.138206,,
