FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC1,Piemonte,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,411083,,
A,Annuale,ITC1,Piemonte,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,411936,,
A,Annuale,ITC1,Piemonte,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,417279,,
A,Annuale,ITC1,Piemonte,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,411095,,
A,Annuale,ITC1,Piemonte,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,420240,,
A,Annuale,ITC1,Piemonte,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,428905,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,8084,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,8129,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,8395,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,8090,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,8382,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,8568,,
A,Annuale,ITC3,Liguria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,137806,,
A,Annuale,ITC3,Liguria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,139509,,
A,Annuale,ITC3,Liguria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,149862,,
A,Annuale,ITC3,Liguria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,145465,,
A,Annuale,ITC3,Liguria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,150541,,
A,Annuale,ITC3,Liguria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,155646,,
A,Annuale,ITC4,Lombardia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,1130587,,
A,Annuale,ITC4,Lombardia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,1149065,,
A,Annuale,ITC4,Lombardia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,1190889,,
A,Annuale,ITC4,Lombardia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,1155393,,
A,Annuale,ITC4,Lombardia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,1176169,,
A,Annuale,ITC4,Lombardia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,1203138,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,48952,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,50129,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,56494,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,51593,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,52647,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,55913,,
A,Annuale,ITD2,Provincia Autonoma Trento,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,46507,,
A,Annuale,ITD2,Provincia Autonoma Trento,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,47007,,
A,Annuale,ITD2,Provincia Autonoma Trento,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,49265,,
A,Annuale,ITD2,Provincia Autonoma Trento,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,45797,,
A,Annuale,ITD2,Provincia Autonoma Trento,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,45620,,
A,Annuale,ITD2,Provincia Autonoma Trento,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,46977,,
A,Annuale,ITD3,Veneto,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,481916,,
A,Annuale,ITD3,Veneto,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,485972,,
A,Annuale,ITD3,Veneto,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,509420,,
A,Annuale,ITD3,Veneto,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,493119,,
A,Annuale,ITD3,Veneto,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,498127,,
A,Annuale,ITD3,Veneto,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,501161,,
A,Annuale,ITD4,Friuli-Venezia Giulia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,105902,,
A,Annuale,ITD4,Friuli-Venezia Giulia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,107265,,
A,Annuale,ITD4,Friuli-Venezia Giulia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,114863,,
A,Annuale,ITD4,Friuli-Venezia Giulia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,113151,,
A,Annuale,ITD4,Friuli-Venezia Giulia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,116340,,
A,Annuale,ITD4,Friuli-Venezia Giulia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,120144,,
A,Annuale,ITD5,Emilia-Romagna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,529580,,
A,Annuale,ITD5,Emilia-Romagna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,537590,,
A,Annuale,ITD5,Emilia-Romagna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,562479,,
A,Annuale,ITD5,Emilia-Romagna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,549820,,
A,Annuale,ITD5,Emilia-Romagna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,554041,,
A,Annuale,ITD5,Emilia-Romagna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,560953,,
A,Annuale,ITE1,Toscana,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,396301,,
A,Annuale,ITE1,Toscana,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,398111,,
A,Annuale,ITE1,Toscana,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,425931,,
A,Annuale,ITE1,Toscana,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,406508,,
A,Annuale,ITE1,Toscana,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,415190,,
A,Annuale,ITE1,Toscana,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,424066,,
A,Annuale,ITE2,Umbria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,92827,,
A,Annuale,ITE2,Umbria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,92399,,
A,Annuale,ITE2,Umbria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,92537,,
A,Annuale,ITE2,Umbria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,89663,,
A,Annuale,ITE2,Umbria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,88571,,
A,Annuale,ITE2,Umbria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,88579,,
A,Annuale,ITE3,Marche,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,130903,,
A,Annuale,ITE3,Marche,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,130595,,
A,Annuale,ITE3,Marche,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,130240,,
A,Annuale,ITE3,Marche,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,126820,,
A,Annuale,ITE3,Marche,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,129067,,
A,Annuale,ITE3,Marche,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,132011,,
A,Annuale,ITE4,Lazio,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,626748,,
A,Annuale,ITE4,Lazio,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,629171,,
A,Annuale,ITE4,Lazio,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,635569,,
A,Annuale,ITE4,Lazio,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,618142,,
A,Annuale,ITE4,Lazio,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,634045,,
A,Annuale,ITE4,Lazio,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,643312,,
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,84611,,
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,83504,,
