FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo,TYPE_MANAGEMENT,Tipo di gestione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo (NOTE_TYPE_SOCIO_EDUC_SERVICE),NOTE_TYPE_MANAGEMENT,Tipo di gestione (NOTE_TYPE_MANAGEMENT),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,MDO,Comunale a gestione diretta,2023,84679,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,69127,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,29532,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,28321,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,DNUR,Nidi e sezioni primavera,ALL,Tutte le voci,2023,211659,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,CDNUR,Nidi,MDO,Comunale a gestione diretta,2023,81868,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,CDNUR,Nidi,MMETP,Comunale a gestione affidata a terzi,2023,66784,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,CDNUR,Nidi,PRPM,Privata con riserva di posti da parte del comune,2023,26386,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,CDNUR,Nidi,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,25920,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,USSSPM,Utenti,CDNUR,Nidi,ALL,Tutte le voci,2023,200958,,,,,,,,,,,,,,,,,,
