FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC1,Piemonte,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,42.059526,,
A,Annuale,ITC1,Piemonte,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,42.253349,,
A,Annuale,ITC1,Piemonte,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,41.0435,,
A,Annuale,ITC1,Piemonte,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,41.608138,,
A,Annuale,ITC1,Piemonte,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,42.549845,,
A,Annuale,ITC1,Piemonte,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,42.767014,,
A,Annuale,ITC1,Piemonte,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,44.261503,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,46.942545,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,47.243503,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,45.779257,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,46.126826,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,48.300669,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,49.720442,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,49.676342,,
A,Annuale,ITC3,Liguria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,38.196343,,
