FREQ,Frequenza,REGION_OF_STUDY,Regione della sede didattica,DATA_TYPE,Indicatore,TYPE_UNIV_MANAGEMENT,Tipo Ateneo,SEX,Sesso,TYPE_DEGREE_COURSE,Tipologia di corso di laurea,FIELD_STUDY,Gruppo di classi di laurea,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REGION_OF_STUDY,Regione della sede didattica (NOTE_REGION_OF_STUDY),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_UNIV_MANAGEMENT,Tipo Ateneo (NOTE_TYPE_UNIV_MANAGEMENT),NOTE_SEX,Sesso (NOTE_SEX),NOTE_TYPE_DEGREE_COURSE,Tipologia di corso di laurea (NOTE_TYPE_DEGREE_COURSE),NOTE_FIELD_STUDY,Gruppo di classi di laurea (NOTE_FIELD_STUDY),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2010,174,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2011,140,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2012,182,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2013,273,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2014,365,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2015,419,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2016,367,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2017,327,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2018,293,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2019,304,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2020,329,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2021,327,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,34,Educazione e formazione,2022,321,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,35,Arte e design,2010,294,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,35,Arte e design,2011,235,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,35,Arte e design,2012,281,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,35,Arte e design,2013,289,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,35,Arte e design,2014,264,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,35,Arte e design,2015,218,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,18,Laureati,1,Pubblica,2,Femmine,L,Corsi di laurea di I livello,35,Arte e design,2016,225,,,,,,,,,,,,,,,,,,,,,,
