FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2018,10.137856,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2019,10.042417,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2020,10.132968,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2021,9.831454,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2022,10.582486,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,11.503005,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,11.155899,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,7,Diploma,2018,33.726196,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,7,Diploma,2019,35.008944,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,7,Diploma,2020,33.023117,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,7,Diploma,2021,34.882412,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,7,Diploma,2022,37.77669,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,7,Diploma,2023,38.187278,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,7,Diploma,2024,38.035542,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,11,Laurea e post-laurea,2018,23.219646,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,11,Laurea e post-laurea,2019,22.116676,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,11,Laurea e post-laurea,2020,17.387471,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,11,Laurea e post-laurea,2021,20.87199,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,11,Laurea e post-laurea,2022,25.966425,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,11,Laurea e post-laurea,2023,29.910062,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,11,Laurea e post-laurea,2024,26.653644,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,99,Totale,2018,20.701345,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,99,Totale,2019,21.355795,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,99,Totale,2020,20.227674,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,99,Totale,2021,21.264674,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,99,Totale,2022,23.405842,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,99,Totale,2023,24.32494,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-24,15-24 anni,99,Totale,2024,24.004036,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2018,34.156025,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2019,35.10156,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2020,33.871642,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2021,34.824442,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2022,37.640661,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,39.659693,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,40.110602,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,7,Diploma,2018,46.477351,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,7,Diploma,2019,48.089586,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,7,Diploma,2020,45.317563,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,7,Diploma,2021,47.340977,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,7,Diploma,2022,50.289143,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,7,Diploma,2023,51.676899,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,7,Diploma,2024,51.1253,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,11,Laurea e post-laurea,2018,47.177006,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,11,Laurea e post-laurea,2019,46.28788,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,11,Laurea e post-laurea,2020,46.304475,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,11,Laurea e post-laurea,2021,47.981442,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,11,Laurea e post-laurea,2022,53.675201,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,11,Laurea e post-laurea,2023,55.803822,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,11,Laurea e post-laurea,2024,53.805064,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,99,Totale,2018,42.923477,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,99,Totale,2019,44.100184,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,99,Totale,2020,42.130863,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,99,Totale,2021,43.894594,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,99,Totale,2022,47.45014,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,99,Totale,2023,49.23205,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y18-29,18-29 anni,99,Totale,2024,48.731524,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2018,19.38308,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2019,19.687454,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2020,18.853333,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2021,19.030455,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2022,19.903539,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,20.724297,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,20.883869,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,7,Diploma,2018,46.40674,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,7,Diploma,2019,47.979415,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,7,Diploma,2020,45.256969,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,7,Diploma,2021,47.308964,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,7,Diploma,2022,50.189616,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,7,Diploma,2023,51.551488,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,7,Diploma,2024,51.043725,,
A,Annuale,IT,Italia,EMP_R,Tasso di occupazione,1,Maschi,Y15-29,15-29 anni,11,Laurea e post-laurea,2018,47.177006,,
