FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2004,41.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2005,42.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2006,43.6,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2007,44.1,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2008,47.4,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2009,48.3,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2010,47.1,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2011,48.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2012,52.5,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2013,54.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2014,54.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2015,57.6,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2016,59.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2017,62.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2018,63.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2019,66,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2020,80.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2021,68.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2022,69.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,CMARRGP_FROM2017,Matrimoni civili (%),2023,72.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2004,495.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2005,490.3,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2006,499.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2007,505.1,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2008,504.3,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2009,474.6,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2010,446.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2011,433.4,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2012,446.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2013,400.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2014,393.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2015,426.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2016,433.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2017,407,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2018,407.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2019,387.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2020,196.4,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2021,375.1,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2022,401.6,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTM_FROM2017,Tasso di nuzialità  totale sposi-valori per mille,2023,381.5,e,Dato stimato,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2004,575.4,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2005,571.1,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2006,579.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2007,585.5,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2008,578.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2009,542.8,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2010,510.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2011,492.7,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2012,509.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2013,456.2,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2014,450.4,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2015,488,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2016,498.9,,,,,,,,,,,,
A,Annuale,ITC1,Piemonte,NUPT_TOTW_FROM2017,Tasso di nuzialità totale spose-valori per mille,2017,471.5,,,,,,,,,,,,
