FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,FULL_PART_TIME,Regime orario,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_FULL_PART_TIME,Regime orario (NOTE_FULL_PART_TIME),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2014,14.47,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2015,14.69,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2016,14.56,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2017,14.56,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2018,14.45,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2019,14.64,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2020,14.88,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2021,14.95,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2022,15,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_FIRD_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (primo decile),9,Totale,2014,8.21,,,,,TIPO_DATO7__HOUWAG_ENTEMP_FIRD_MI_N1,Primo decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
