FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,POSIZ_PROF,Posizione professionale,PERM_TEMP_EMPLOYEES,Carattere occupazione dipendente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,1180.012,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,1189.61,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,1181.799,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,1178.668,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,1194.713,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,1233.87,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,1290.299,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,9,Totale,2018,1384.041,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,9,Totale,2019,1385.826,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,9,Totale,2020,1354.313,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,9,Totale,2021,1367.491,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,9,Totale,2022,1379.576,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,9,Totale,2023,1407.251,,
A,Annuale,ITC1,Piemonte,9,Totale,1,Dipendenti,9,Totale,2024,1441.988,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,33.372,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,33.716,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,33.882,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,33.863,,
